OrderID,OrderDate,City,ProductCategory,ProductName,Price,Quantity,PaymentMethod
1,2025-01-18,Ahmedabad,Home,Mixer,1839,3,UPI
2,2025-02-24,Mumbai,Home,Mixer,44548,5,Cash
3,2025-03-19,Ahmedabad,Electronics,Headphones,6340,2,Cash
4,2025-02-27,Bangalore,Electronics,Smartphone,47125,5,UPI
5,2025-02-05,Bangalore,Home,Table,625,2,Card
6,2025-01-13,Mumbai,Electronics,Smartphone,22259,1,Card
7,2025-02-28,Mumbai,Clothing,Jacket,39765,3,Cash
8,2025-04-17,Surat,Home,Mixer,25007,1,Card
9,2025-03-26,Mumbai,Home,Table,38037,2,UPI
10,2025-02-05,Mumbai,Electronics,Laptop,5429,2,Card
11,2025-03-27,Delhi,Clothing,Jacket,10859,3,UPI
12,2025-02-01,Surat,Clothing,T-Shirt,40120,2,Cash
13,2025-03-29,Surat,Electronics,Mouse,25067,3,UPI
14,2025-02-04,Delhi,Clothing,T-Shirt,15210,1,Card
15,2025-03-05,Ahmedabad,Electronics,Smartphone,37370,3,Cash
16,2025-04-06,Ahmedabad,Clothing,Shirt,9563,3,UPI
17,2025-02-21,Bangalore,Home,Table,49156,5,Cash
18,2025-04-07,Bangalore,Clothing,Jeans,9265,5,UPI
19,2025-01-09,Bangalore,Electronics,Headphones,10216,2,Cash
20,2025-03-12,Surat,Clothing,Shirt,39252,4,Card
21,2025-02-13,Delhi,Electronics,Headphones,44876,5,Cash
22,2025-04-03,Bangalore,Electronics,Laptop,28692,2,UPI
23,2025-04-22,Surat,Home,Table,33006,2,UPI
24,2025-01-20,Surat,Home,Table,42074,5,UPI
25,2025-02-11,Mumbai,Clothing,Jeans,35548,5,Cash
26,2025-01-08,Delhi,Clothing,T-Shirt,7531,3,UPI
27,2025-04-09,Mumbai,Electronics,Headphones,5813,4,Cash
28,2025-02-03,Surat,Electronics,Smartphone,43437,4,UPI
29,2025-02-09,Ahmedabad,Home,Lamp,14080,5,Cash
30,2025-02-01,Bangalore,Clothing,Jacket,28911,5,UPI
31,2025-01-30,Surat,Electronics,Headphones,22356,1,Cash
32,2025-01-09,Mumbai,Home,Chair,671,1,UPI
